NAME,DATE,TMAX
"DOWNTOWN CHARLESTON, SC US",2/1/2017,69
"DOWNTOWN CHARLESTON, SC US",2/2/2017,72
"DOWNTOWN CHARLESTON, SC US",2/3/2017,70
"DOWNTOWN CHARLESTON, SC US",2/4/2017,50
"DOWNTOWN CHARLESTON, SC US",2/5/2017,62
"DOWNTOWN CHARLESTON, SC US",2/6/2017,60
"DOWNTOWN CHARLESTON, SC US",2/7/2017,70
"DOWNTOWN CHARLESTON, SC US",2/8/2017,70
"DOWNTOWN CHARLESTON, SC US",2/9/2017,65
"DOWNTOWN CHARLESTON, SC US",2/10/2017,52
"DOWNTOWN CHARLESTON, SC US",2/11/2017,71
"DOWNTOWN CHARLESTON, SC US",2/12/2017,73
"DOWNTOWN CHARLESTON, SC US",2/13/2017,69
"DOWNTOWN CHARLESTON, SC US",2/14/2017,63
"DOWNTOWN CHARLESTON, SC US",2/15/2017,71
"DOWNTOWN CHARLESTON, SC US",2/16/2017,64
"DOWNTOWN CHARLESTON, SC US",2/17/2017,66
"DOWNTOWN CHARLESTON, SC US",2/18/2017,67
"DOWNTOWN CHARLESTON, SC US",2/19/2017,74
"DOWNTOWN CHARLESTON, SC US",2/20/2017,68
"DOWNTOWN CHARLESTON, SC US",2/21/2017,67
"DOWNTOWN CHARLESTON, SC US",2/22/2017,70
"DOWNTOWN CHARLESTON, SC US",2/23/2017,71
"DOWNTOWN CHARLESTON, SC US",2/24/2017,74
"DOWNTOWN CHARLESTON, SC US",2/25/2017,74
"DOWNTOWN CHARLESTON, SC US",2/26/2017,62
"DOWNTOWN CHARLESTON, SC US",2/27/2017,72
"DOWNTOWN CHARLESTON, SC US",2/28/2017,72
"CHARLESTON INTL. AIRPORT, SC US",2/1/2017,75
"CHARLESTON INTL. AIRPORT, SC US",2/2/2017,76
"CHARLESTON INTL. AIRPORT, SC US",2/3/2017,72
"CHARLESTON INTL. AIRPORT, SC US",2/4/2017,51
"CHARLESTON INTL. AIRPORT, SC US",2/5/2017,62
"CHARLESTON INTL. AIRPORT, SC US",2/6/2017,68
"CHARLESTON INTL. AIRPORT, SC US",2/7/2017,77
"CHARLESTON INTL. AIRPORT, SC US",2/8/2017,72
"CHARLESTON INTL. AIRPORT, SC US",2/9/2017,68
"CHARLESTON INTL. AIRPORT, SC US",2/10/2017,54
"CHARLESTON INTL. AIRPORT, SC US",2/11/2017,77
"CHARLESTON INTL. AIRPORT, SC US",2/12/2017,79
"CHARLESTON INTL. AIRPORT, SC US",2/13/2017,69
"CHARLESTON INTL. AIRPORT, SC US",2/14/2017,72
"CHARLESTON INTL. AIRPORT, SC US",2/15/2017,71
"CHARLESTON INTL. AIRPORT, SC US",2/16/2017,65
"CHARLESTON INTL. AIRPORT, SC US",2/17/2017,74
"CHARLESTON INTL. AIRPORT, SC US",2/18/2017,71
"CHARLESTON INTL. AIRPORT, SC US",2/19/2017,76
"CHARLESTON INTL. AIRPORT, SC US",2/20/2017,77
"CHARLESTON INTL. AIRPORT, SC US",2/21/2017,71
"CHARLESTON INTL. AIRPORT, SC US",2/22/2017,76
"CHARLESTON INTL. AIRPORT, SC US",2/23/2017,79
"CHARLESTON INTL. AIRPORT, SC US",2/24/2017,81
"CHARLESTON INTL. AIRPORT, SC US",2/25/2017,81
"CHARLESTON INTL. AIRPORT, SC US",2/26/2017,68
"CHARLESTON INTL. AIRPORT, SC US",2/27/2017,75
"CHARLESTON INTL. AIRPORT, SC US",2/28/2017,78
"SULLIVANS ISLAND, SC US",2/1/2017,63
"SULLIVANS ISLAND, SC US",2/2/2017,70
"SULLIVANS ISLAND, SC US",2/3/2017,71
"SULLIVANS ISLAND, SC US",2/4/2017,74
"SULLIVANS ISLAND, SC US",2/5/2017,47
"SULLIVANS ISLAND, SC US",2/6/2017,64
"SULLIVANS ISLAND, SC US",2/7/2017,64
"SULLIVANS ISLAND, SC US",2/8/2017,72
"SULLIVANS ISLAND, SC US",2/9/2017,72
"SULLIVANS ISLAND, SC US",2/10/2017,66
"SULLIVANS ISLAND, SC US",2/11/2017,64
"SULLIVANS ISLAND, SC US",2/12/2017,72
"SULLIVANS ISLAND, SC US",2/13/2017,72
"SULLIVANS ISLAND, SC US",2/14/2017,70
"SULLIVANS ISLAND, SC US",2/15/2017,67
"SULLIVANS ISLAND, SC US",2/16/2017,71
"SULLIVANS ISLAND, SC US",2/17/2017,65
"SULLIVANS ISLAND, SC US",2/18/2017,68
"SULLIVANS ISLAND, SC US",2/19/2017,68
"SULLIVANS ISLAND, SC US",2/20/2017,76
"SULLIVANS ISLAND, SC US",2/21/2017,71
"SULLIVANS ISLAND, SC US",2/22/2017,68
"SULLIVANS ISLAND, SC US",2/23/2017,72
"SULLIVANS ISLAND, SC US",2/24/2017,73
"SULLIVANS ISLAND, SC US",2/25/2017,77
"SULLIVANS ISLAND, SC US",2/26/2017,76
"SULLIVANS ISLAND, SC US",2/27/2017,64
"SULLIVANS ISLAND, SC US",2/28/2017,74
